SubscriberIdentityNumber,Phone Number,Subscriber Name,SSN,Subscriber Age,State,Zip Code,SubscribedFromDate,Internet Service,SMS Service,Churn Status
3.45279E+14,1526694838,Robert,214448944,54,Ohio,44127,2/9/2019,Active,Active,Active
3.45279E+14,1526694839,Thomas,214448945,44,Ohio,44128,2/10/2019,InActive,Active,Active
3.45279E+14,1526694840,Charles,214448946,33,Ohio,44129,2/11/2019,Active,Active,Active
3.45279E+14,1526694841,Sam,214448947,67,Ohio,44130,2/12/2019,Active,Active,Active
3.45279E+14,1526694842,Antony,214448948,22,Ohio,44131,2/13/2019,Active,Active,Active
3.45279E+14,1526694843,Raj,214448949,34,Ohio,44132,2/14/2019,Active,Active,Active
3.45279E+14,1526694844,Brian,214448950,35,Ohio,44133,2/15/2019,Active,Active,Active
3.45279E+14,1526694845,Edward,214448951,36,Ohio,44134,2/16/2019,Active,Active,Active
3.45279E+14,1526694846,Gary,214448952,37,Ohio,44135,2/17/2019,Active,Active,Active
3.45279E+14,1526694847,Rinold,214448953,38,Ohio,44136,2/18/2019,Active,Active,Active
3.45279E+14,1526694848,Timoty,214448954,39,Ohio,44137,1/20/2019,Active,Active,Active
3.45279E+14,1526694849,Narry,214448955,40,Ohio,44138,1/21/2019,Active,Active,Active
3.45279E+14,1526694850,Nicholos,214448956,25,Ohio,44139,1/22/2019,Active,Active,Active
3.45279E+14,1526694851,Samuel,214448957,26,Ohio,44140,1/23/2019,Active,Active,Active
3.45279E+14,1526694852,Jose,214448958,27,Ohio,44141,1/24/2019,Active,Active,Active
3.45279E+14,1526694853,Henry,214448959,28,Ohio,44142,1/25/2019,Active,Active,Active
3.45279E+14,1526694854,Austin,214448960,29,Ohio,44143,1/26/2019,Active,Active,Active
3.45279E+14,1526694855,Mike,214448961,30,Michigan,49735,1/27/2019,Active,,Active
3.45279E+14,1526694856,John,214448962,31,Michigan,49735,3/20/2020,Active,Active,Active
3.45279E+14,1526694857,James,214448963,32,Michigan,49735,3/21/2020,InActive,Active,Active
3.45279E+14,1526694858,Robert,214448964,33,Michigan,49735,3/22/2020,Active,Active,Active
3.45279E+14,1526694859,Thomas,214448965,34,Michigan,49735,3/23/2020,Active,Active,Active
3.4528E+14,1526694860,Charles,214448966,35,Michigan,49735,3/24/2020,Active,Active,
3.4528E+14,1526694861,Sam,214448967,36,Michigan,49735,3/25/2020,Active,Active,Active
3.4528E+14,1526694862,Antony,214448968,37,Michigan,49735,12/1/2018,Active,Active,Active
3.4528E+14,1526694863,Raj,214448969,38,Michigan,49735,12/2/2018,Active,Active,Active
3.4528E+14,1526694864,Brian,214448970,39,Michigan,49735,12/3/2018,Active,Active,Active
3.4528E+14,1526694865,Edward,214448971,40,Michigan,49735,12/4/2018,Active,Active,Active
3.4528E+14,1526694866,Gary,214448972,41,Michigan,49735,12/5/2018,Active,Active,Active
3.4528E+14,1526694867,Rinold,214448973,42,Michigan,49735,12/6/2018,Active,Active,Active
3.4528E+14,1526694868,Timoty,214448974,43,Michigan,49735,12/7/2018,Active,Active,Active
3.4528E+14,1526694869,Narry,214448975,44,Michigan,49735,12/8/2018,Active,Active,Active
3.4528E+14,1526694870,Nicholos,214448976,33,Michigan,49735,12/9/2018,Active,Active,Active
3.4528E+14,1526694871,Samuel,214448977,23,Michigan,49735,12/10/2018,Active,Active,Active
3.4528E+14,1526694872,Jose,214448978,78,Michigan,49735,12/11/2018,InActive,Active,Active
3.4528E+14,1526694873,Henry,214448979,68,Michigan,49735,12/12/2018,Active,Active,Active
3.4528E+14,1526694874,Austin,214448980,57,Michigan,49735,12/13/2018,Active,Active,Active
3.4528E+14,1526694875,Mike,214448981,25,Arizona,85005,1/12/2018,Active,Active,Active
3.4528E+14,1526694876,John,214448982,15,Florida,33130,12/12/2018,Active,Active,Active
3.4528E+14,1526694877,James,214448983,45,Newyork,10005,5/25/2018,Active,Active,Active
3.4528E+14,1526694878,Robert,214448984,62,Newyork,10006,11/5/2017,Active,Active,Active
3.4528E+14,1526694879,Thomas,214448985,15,Newyork,10007,4/18/2017,Active,Active,Active
3.4528E+14,1526694880,Charles,214448986,33,Newyork,10008,9/29/2019,Active,Active,Active
3.4528E+14,1526694881,Sam,214448987,22,Newyork,10009,3/12/2016,Active,Active,Active
3.4528E+14,1526694882,Antony,214448988,78,Newyork,10010,8/24/2015,Active,,Active
3.4528E+14,1526694883,Raj,214448989,55,Newyork,10011,2/4/2019,Active,Active,Active
3.4528E+14,1526694884,Brian,214448990,44,Newyork,10012,2/5/2019,Active,Active,Active
3.4528E+14,1526694885,Edward,214448991,33,Newyork,10013,2/6/2019,Active,Active,Active
3.4528E+14,1526694886,Gary,214448992,22,Newyork,10014,2/7/2019,Active,Active,Active
3.4528E+14,1526694887,Rinold,214448993,45,Newyork,10015,2/8/2019,InActive,Active,Active
3.4528E+14,1526694888,Timoty,214448994,54,Newyork,10016,2/9/2019,Active,Active,Active
3.4528E+14,1526694889,Narry,214448995,44,Newyork,10017,2/10/2019,Active,Active,Active
3.4528E+14,1526694890,Nicholos,214448996,33,Newyork,10018,2/11/2019,Active,Active,Active
3.4528E+14,1526694891,Samuel,214448997,67,Newyork,10019,2/12/2019,Active,Active,Active
3.4528E+14,1526694892,Jose,214448998,22,Newyork,10020,2/13/2019,Active,Active,Active
3.4528E+14,1526694893,Henry,214448999,34,Newyork,10021,2/14/2019,Active,Active,Active
3.4528E+14,1526694894,Austin,214449000,35,Newjersy,7039,2/15/2019,Active,Active,Active
3.4528E+14,1526694895,Mike,214449001,36,North Carolina,27565,2/16/2019,Active,Active,Active
3.4528E+14,1526694896,John,214449002,37,Newyork,10005,2/17/2019,Active,Active,Active
3.4528E+14,1526694897,James,214449003,38,Newyork,10006,2/18/2019,Active,Active,Active
3.4528E+14,1526694898,Robert,214449004,39,Newyork,10007,1/20/2019,Active,Active,
3.4528E+14,1526694899,Thomas,214449005,40,Newyork,10008,1/21/2019,Active,Active,Active
3.4528E+14,1526694900,Charles,214449006,25,Newyork,10009,1/22/2019,Active,Active,Active
3.4528E+14,1526694901,Sam,214449007,26,Newyork,10010,1/23/2019,Active,Active,Active
3.4528E+14,1526694902,Antony,214449008,27,Newyork,10011,1/24/2019,Active,Active,Active
3.4528E+14,1526694903,Raj,214449009,28,Newyork,10012,1/25/2019,Active,Active,Active
3.4528E+14,1526694904,Brian,214449010,29,Newyork,10013,1/26/2019,Active,Active,Active
3.4528E+14,1526694905,Edward,214449011,30,Newyork,10014,1/27/2019,Active,Active,Active
3.4528E+14,1526694906,Gary,214449012,31,Newyork,10015,3/20/2020,Active,Active,Active
3.4528E+14,1526694907,Rinold,214449013,32,Newyork,10016,3/21/2020,Active,Active,Active
3.4528E+14,1526694908,Timoty,214449014,33,Newyork,10017,3/22/2020,Active,Active,Active
3.4528E+14,1526694909,Narry,214449015,34,Newyork,10018,3/23/2020,Active,Active,Active
3.4528E+14,1526694910,Nicholos,214449016,35,Newyork,10019,3/24/2020,Active,Active,Active
3.4528E+14,1526694911,Samuel,214449017,36,Newyork,10020,3/25/2020,Active,,Active
3.4528E+14,1526694912,Jose,214449018,37,Newyork,10021,12/1/2018,Active,Active,Active
3.4528E+14,1526694913,Henry,214449019,38,Ohio,44102,12/2/2018,Active,Active,Active
3.4528E+14,1526694914,Austin,214449020,39,Ohio,44103,12/3/2018,Active,Active,Active
3.4528E+14,1526694915,Mike,214449021,40,Ohio,44104,12/4/2018,Active,Active,Active
3.4528E+14,1526694916,John,214449022,41,Ohio,44105,12/5/2018,Active,Active,Active
3.4528E+14,1526694917,James,214449023,42,Ohio,44106,12/6/2018,Active,Active,Active
3.4528E+14,1526694918,Robert,214449024,43,Ohio,44107,12/7/2018,Active,Active,Active
3.4528E+14,1526694919,Thomas,214449025,44,Ohio,44108,12/8/2018,Active,Active,Active
3.4528E+14,1526694920,Charles,214449026,33,Ohio,44109,12/9/2018,Active,Active,Active
3.4528E+14,1526694921,Sam,214449027,23,Ohio,44110,12/10/2018,Active,Active,Active
3.4528E+14,1526694922,Antony,214449028,78,Ohio,44111,12/11/2018,Active,Active,Active
3.4528E+14,1526694923,Raj,214449029,68,Ohio,44112,12/12/2018,Active,Active,Active
3.4528E+14,1526694924,Brian,214449030,57,Ohio,44113,12/13/2018,Active,Active,Active
3.4528E+14,1526694925,Edward,214449031,25,Ohio,44114,1/12/2018,Active,Active,Active
3.4528E+14,1526694926,Gary,214449032,15,Ohio,44115,12/12/2018,Active,Active,Active
3.4528E+14,1526694927,Rinold,214449033,45,Ohio,44116,5/25/2018,Active,Active,Active
3.4528E+14,1526694928,Timoty,214449034,62,Ohio,44117,11/5/2017,Active,Active,Active
3.4528E+14,1526694929,Narry,214449035,15,Ohio,44118,4/18/2017,Active,Active,Active
3.4528E+14,1526694930,Nicholos,214449036,33,Ohio,44119,9/29/2019,Active,Active,Active
3.4528E+14,1526694931,Samuel,214449037,22,Ohio,44120,3/12/2016,Active,Active,Active
3.4528E+14,1526694932,Jose,214449038,78,Ohio,44121,8/24/2015,Active,Active,Active
3.4528E+14,1526694933,Henry,214449039,55,Ohio,44122,2/4/2019,Active,Active,Active
3.4528E+14,1526694934,Austin,214449040,44,Ohio,44123,2/5/2019,Active,Active,Active
3.4528E+14,1526694935,Mike,214449041,33,Ohio,44124,2/6/2019,Active,Active,Active
3.4528E+14,1526694936,John,214449042,22,Ohio,44125,2/7/2019,Active,Active,Active
3.4528E+14,1526694937,James,214449043,45,Ohio,44126,2/8/2019,Active,Active,Active
3.4528E+14,1526694938,Robert,214449044,54,Ohio,44127,2/9/2019,Active,Active,Active
3.4528E+14,1526694939,Thomas,214449045,44,Ohio,44128,2/10/2019,Active,Active,Active
3.4528E+14,1526694940,Charles,214449046,33,Ohio,44129,2/11/2019,Active,Active,Active
3.4528E+14,1526694941,Sam,214449047,67,Ohio,44130,2/12/2019,Active,Active,Active
3.4528E+14,1526694942,Antony,214449048,22,Ohio,44131,2/13/2019,Active,Active,Active
3.4528E+14,1526694943,Raj,214449049,34,Ohio,44132,2/14/2019,Active,Active,Active
3.4528E+14,1526694944,Brian,214449050,35,Ohio,44133,2/15/2019,Active,Active,Active
3.4528E+14,1526694945,Edward,214449051,36,Ohio,44134,2/16/2019,Active,Active,Active
3.4528E+14,1526694946,Gary,214449052,37,Ohio,44135,2/17/2019,Active,Active,Active
3.4528E+14,1526694947,Rinold,214449053,38,Ohio,44136,2/18/2019,Active,Active,InActive
3.4528E+14,1526694948,Timoty,214449054,39,Ohio,44137,1/20/2019,Active,Active,Active
3.4528E+14,1526694949,Narry,214449055,40,Ohio,44138,1/21/2019,Active,Active,Active
3.4528E+14,1526694950,Nicholos,214449056,25,Ohio,44139,1/22/2019,Active,Active,Active
3.4528E+14,1526694951,Samuel,214449057,26,Ohio,44140,1/23/2019,Active,Active,Active
3.4528E+14,1526694952,Jose,214449058,27,Ohio,44141,1/24/2019,Active,Active,Active
3.4528E+14,1526694953,Henry,214449059,28,Ohio,44142,1/25/2019,Active,Active,Active
3.4528E+14,1526694954,Austin,214449060,29,Ohio,44143,1/26/2019,Active,Active,Active
3.4528E+14,1526694955,Mike,214449061,30,Michigan,49735,1/27/2019,Active,Active,Active
3.4528E+14,1526694956,John,214449062,31,Michigan,49735,3/20/2020,Active,Active,Active
3.4528E+14,1526694957,James,214449063,32,Michigan,49735,3/21/2020,Active,Active,Active
3.4528E+14,1526694958,Robert,214449064,33,Michigan,49735,3/22/2020,Active,Active,NA
3.4528E+14,1526694959,Thomas,214449065,34,Michigan,49735,3/23/2020,Active,Active,Active
3.45281E+14,1526694960,Charles,214449066,35,Michigan,49735,3/24/2020,Active,Active,Active
3.45281E+14,1526694961,Sam,214449067,36,Michigan,49735,3/25/2020,Active,Active,Active
3.45281E+14,1526694962,Antony,214449068,37,Michigan,49735,12/1/2018,Active,Active,Active
3.45281E+14,1526694963,Raj,214449069,38,Michigan,49735,12/2/2018,Active,Active,Active
3.45281E+14,1526694964,Brian,214449070,39,Michigan,49735,12/3/2018,Active,Active,Active
3.45281E+14,1526694965,Edward,214449071,40,Michigan,49735,12/4/2018,Active,Active,Active
3.45281E+14,1526694966,Gary,214449072,41,Michigan,49735,12/5/2018,Active,Active,InActive
3.45281E+14,1526694967,Rinold,214449073,42,Michigan,49735,12/6/2018,Active,Active,Active
3.45281E+14,1526694968,Timoty,214449074,43,Michigan,49735,12/7/2018,Active,Active,Active
3.45281E+14,1526694969,Narry,214449075,44,Michigan,49735,12/8/2018,Active,Active,Active
3.45281E+14,1526694970,Nicholos,214449076,33,Michigan,49735,12/9/2018,Active,Active,Active
3.45281E+14,1526694971,Samuel,214449077,23,Michigan,49735,12/10/2018,Active,Active,Active
3.45281E+14,1526694972,Jose,214449078,78,Michigan,49735,12/11/2018,Active,Active,Active
3.45281E+14,1526694973,Henry,214449079,68,Michigan,49735,12/12/2018,Active,Active,Active
3.45281E+14,1526694974,Austin,214449080,57,Michigan,49735,12/13/2018,Active,Active,Active
3.45281E+14,1526694975,Mike,214449081,25,Arizona,85005,1/12/2018,Active,Active,Active
3.45281E+14,1526694976,John,214449082,15,Florida,33130,12/12/2018,Active,Active,Active
3.45281E+14,1526694977,James,214449083,45,Newyork,10005,5/25/2018,Active,Active,InActive
3.45281E+14,1526694978,Robert,214449084,62,Newyork,10006,11/5/2017,Active,Active,Active
3.45281E+14,1526694979,Thomas,214449085,15,Newyork,10007,4/18/2017,Active,Active,Active
3.45281E+14,1526694980,Charles,214449086,33,Newyork,10008,9/29/2019,Active,Active,Active
3.45281E+14,1526694981,Sam,214449087,22,Newyork,10009,3/12/2016,Active,Active,Active
3.45281E+14,1526694982,Antony,214449088,78,Newyork,10010,8/24/2015,Active,Active,Active
3.45281E+14,1526694983,Raj,214449089,55,Newyork,10011,2/4/2019,Active,Active,Active
3.45281E+14,1526694984,Brian,214449090,44,Newyork,10012,2/5/2019,Active,Active,Active
3.45281E+14,1526694985,Edward,214449091,33,Newyork,10013,2/6/2019,Active,Active,Active
3.45281E+14,1526694986,Gary,214449092,22,Newyork,10014,2/7/2019,Active,Active,Active
3.45281E+14,1526694987,Rinold,214449093,45,Newyork,10015,2/8/2019,Active,Active,Active
3.45281E+14,1526694988,Timoty,214449094,54,Newyork,10016,2/9/2019,Active,Active,Active
3.45281E+14,1526694989,Narry,214449095,44,Newyork,10017,2/10/2019,Active,Active,Active
3.45281E+14,1526694990,Nicholos,214449096,33,Newyork,10018,2/11/2019,Active,Active,InActive
3.45281E+14,1526694991,Samuel,214449097,67,Newyork,10019,2/12/2019,Active,Active,Active
3.45281E+14,1526694992,Jose,214449098,22,Newyork,10020,2/13/2019,Active,Active,Active
3.45281E+14,1526694993,Henry,214449099,34,Newyork,10021,2/14/2019,Active,Active,Active
3.45281E+14,1526694994,Austin,214449100,35,Newjersy,7039,2/15/2019,Active,Active,Active
3.45281E+14,1526694995,Mike,214449101,36,North Carolina,27565,2/16/2019,Active,Active,Active
3.45281E+14,1526694996,John,214449102,37,Newyork,10005,2/17/2019,Active,Active,Active
3.45281E+14,1526694997,James,214449103,38,Newyork,10006,2/18/2019,Active,Active,Active
3.45281E+14,1526694998,Robert,214449104,39,Newyork,10007,1/20/2019,Active,Active,Active
3.45281E+14,1526694999,Thomas,214449105,40,Newyork,10008,1/21/2019,Active,Active,Active
3.45281E+14,1526695000,Charles,214449106,25,Newyork,10009,1/22/2019,Active,Active,Active
3.45281E+14,1526695001,Sam,214449107,26,Newyork,10010,1/23/2019,Active,Active,Active
3.45281E+14,1526695002,Antony,214449108,27,Newyork,10011,1/24/2019,Active,Active,Active
3.45281E+14,1526695003,Raj,214449109,28,Newyork,10012,1/25/2019,Active,Active,Active
3.45281E+14,1526695004,Brian,214449110,29,Newyork,10013,1/26/2019,Active,Active,Active
3.45281E+14,1526695005,Edward,214449111,30,Newyork,10014,1/27/2019,Active,Active,InActive
3.45281E+14,1526695006,Gary,214449112,31,Newyork,10015,3/20/2020,Active,Active,Active
3.45281E+14,1526695007,Rinold,214449113,32,Newyork,10016,3/21/2020,Active,Active,Active
3.45281E+14,1526695008,Timoty,214449114,33,Newyork,10017,3/22/2020,Active,Active,Active
3.45281E+14,1526695009,Narry,214449115,34,Newyork,10018,3/23/2020,Active,Active,Active
3.45281E+14,1526695010,Nicholos,214449116,35,Newyork,10019,3/24/2020,Active,Active,Active
3.45281E+14,1526695011,Samuel,214449117,36,Newyork,10020,3/25/2020,Active,Active,Active
3.45281E+14,1526695012,Jose,214449118,37,Newyork,10021,12/1/2018,Active,Active,Active
3.45281E+14,1526695013,Henry,214449119,38,Ohio,44102,12/2/2018,Active,Active,Active
3.45281E+14,1526695014,Austin,214449120,39,Ohio,44103,12/3/2018,Active,Active,NA
3.45281E+14,1526695015,Mike,214449121,40,Ohio,44104,12/4/2018,Active,Active,Active
3.45281E+14,1526695016,John,214449122,41,Ohio,44105,12/5/2018,Active,Active,Active
3.45281E+14,1526695017,James,214449123,42,Ohio,44106,12/6/2018,Active,Active,Active
3.45281E+14,1526695018,Robert,214449124,43,Ohio,44107,12/7/2018,Active,Active,Active
3.45281E+14,1526695019,Thomas,214449125,44,Ohio,44108,12/8/2018,Active,Active,Active
3.45281E+14,1526695020,Charles,214449126,33,Ohio,44109,12/9/2018,Active,Active,Active
3.45281E+14,1526695021,Sam,214449127,23,Ohio,44110,12/10/2018,Active,Active,Active
3.45281E+14,1526695022,Antony,214449128,78,Ohio,44111,12/11/2018,Active,Active,Active
3.45281E+14,1526695023,Raj,214449129,68,Ohio,44112,12/12/2018,Active,Active,Active
3.45281E+14,1526695024,Brian,214449130,57,Ohio,44113,12/13/2018,Active,Active,Active
3.45281E+14,1526695025,Edward,214449131,25,Ohio,44114,1/12/2018,Active,Active,Active
3.45281E+14,1526695026,Gary,214449132,15,Ohio,44115,12/12/2018,Active,Active,Active
3.45281E+14,1526695027,Rinold,214449133,45,Ohio,44116,5/25/2018,Active,Active,Active
3.45281E+14,1526695028,Timoty,214449134,62,Ohio,44117,11/5/2017,Active,Active,Active
3.45281E+14,1526695029,Narry,214449135,15,Ohio,44118,4/18/2017,Active,Active,Active
3.45281E+14,1526695030,Nicholos,214449136,33,Ohio,44119,9/29/2019,Active,Active,Active
3.45281E+14,1526695031,Samuel,214449137,22,Ohio,44120,3/12/2016,Active,Active,InActive
3.45281E+14,1526695032,Jose,214449138,78,Ohio,44121,8/24/2015,Active,Active,Active
3.45281E+14,1526695033,Henry,214449139,55,Ohio,44122,2/4/2019,Active,Active,Active
3.45281E+14,1526695034,Austin,214449140,44,Ohio,44123,2/5/2019,Active,Active,Active
3.45281E+14,1526695035,Mike,214449141,33,Ohio,44124,2/6/2019,Active,Active,Active
3.45281E+14,1526695036,John,214449142,22,Ohio,44125,2/7/2019,Active,Active,Active
3.45281E+14,1526695037,James,214449143,45,Ohio,44126,2/8/2019,Active,Active,Active
3.45281E+14,1526695038,Robert,214449144,54,Ohio,44127,2/9/2019,Active,Active,Active
3.45281E+14,1526695039,Thomas,214449145,44,Ohio,44128,2/10/2019,Active,Active,Active
3.45281E+14,1526695040,Charles,214449146,33,Ohio,44129,2/11/2019,Active,Active,Active
3.45281E+14,1526695041,Sam,214449147,67,Ohio,44130,2/12/2019,Active,Active,Active
3.45281E+14,1526695042,Antony,214449148,22,Ohio,44131,2/13/2019,Active,Active,Active
3.45281E+14,1526695043,Raj,214449149,34,Ohio,44132,2/14/2019,Active,Active,Active
3.45281E+14,1526695044,Brian,214449150,35,Ohio,44133,2/15/2019,Active,Active,InActive
3.45281E+14,1526695045,Edward,214449151,36,Ohio,44134,2/16/2019,Active,Active,Active
3.45281E+14,1526695046,Gary,214449152,37,Ohio,44135,2/17/2019,Active,Active,Active
3.45281E+14,1526695047,Rinold,214449153,38,Ohio,44136,2/18/2019,Active,Active,Active
3.45281E+14,1526695048,Timoty,214449154,39,Ohio,44137,1/20/2019,Active,Active,Active
3.45281E+14,1526695049,Narry,214449155,40,Ohio,44138,1/21/2019,Active,Active,Active
3.45281E+14,1526695050,Nicholos,214449156,25,Ohio,44139,1/22/2019,Active,Active,Active
3.45281E+14,1526695051,Samuel,214449157,26,Ohio,44140,1/23/2019,Active,Active,Active
3.45281E+14,1526695052,Jose,214449158,27,Ohio,44141,1/24/2019,Active,Active,Active
3.45281E+14,1526695053,Henry,214449159,28,Ohio,44142,1/25/2019,Active,Active,Active
3.45281E+14,1526695054,Austin,214449160,29,Ohio,44143,1/26/2019,Active,Active,Active
3.45281E+14,1526695055,Mike,214449161,30,Michigan,49735,1/27/2019,Active,Active,InActive
3.45281E+14,1526695056,John,214449162,31,Michigan,49735,3/20/2020,Active,Active,Active
3.45281E+14,1526695057,James,214449163,32,Michigan,49735,3/21/2020,Active,Active,Active
3.45281E+14,1526695058,Robert,214449164,33,Michigan,49735,3/22/2020,Active,Active,Active
3.45281E+14,1526695059,Thomas,214449165,34,Michigan,49735,3/23/2020,Active,Active,Active
3.45282E+14,1526695060,Charles,214449166,35,Michigan,49735,3/24/2020,Active,Active,Active
3.45282E+14,1526695061,Sam,214449167,36,Michigan,49735,3/25/2020,Active,Active,Active
3.45282E+14,1526695062,Antony,214449168,37,Michigan,49735,12/1/2018,Active,Active,Active
3.45282E+14,1526695063,Raj,214449169,38,Michigan,49735,12/2/2018,Active,Active,Active
3.45282E+14,1526695064,Brian,214449170,39,Michigan,49735,12/3/2018,Active,Active,Active
3.45282E+14,1526695065,Edward,214449171,40,Michigan,49735,12/4/2018,Active,Active,Active
3.45282E+14,1526695066,Gary,214449172,41,Michigan,49735,12/5/2018,Active,Active,Active
3.45282E+14,1526695067,Rinold,214449173,42,Michigan,49735,12/6/2018,Active,Active,Active
3.45282E+14,1526695068,Timoty,214449174,43,Michigan,49735,12/7/2018,Active,Active,InActive
